order_id,part_id,customer,customer_tier,quantity,unit_of_measure,priority,status,release_date,required_start,ship_date,planned_asset_id,planned_shift_id,estimated_hours,notes
WO-1001,P-1001,AutoCorp,1,120,PCS,90,scheduled,2026-03-13,2026-03-16,2026-03-18,WC-01,2026-03-16-M,4.20,
WO-1002,P-2001,FluidSys,2,80,PCS,60,scheduled,2026-03-14,2026-03-16,2026-03-19,WC-02,2026-03-16-M,3.50,
WO-1003,P-3001,BodyWorks,2,200,PCS,50,scheduled,2026-03-15,2026-03-16,2026-03-20,WC-03,2026-03-16-M,5.00,
WO-1004,P-1002,AutoCorp,1,60,PCS,70,scheduled,2026-03-14,2026-03-16,2026-03-18,WC-01,2026-03-16-A,2.80,
WO-1005,P-2002,FluidSys,2,150,PCS,55,scheduled,2026-03-15,2026-03-16,2026-03-19,WC-02,2026-03-16-A,4.50,
PO-2847,P-1099,TierOne_A,1,180,PCS,95,scheduled,2026-03-16,2026-03-16,2026-03-21,WC-01,,6.80,
PO-3001,P-1003,MechaTech,1,95,PCS,92,scheduled,2026-03-16,2026-03-16,2026-03-19,,,4.50,"EXPEDITE - customer escalation, bearing carrier needed for line stoppage"
PO-3002,P-1003,MechaTech,1,95,PCS,92,scheduled,2026-03-15,2026-03-12,2026-03-19,,,4.50,"EXPEDITE - customer escalation, bearing carrier needed for line stoppage"
WO-2001,P-1001,AutoParts_Co,2,60,PCS,55,scheduled,2026-03-16,2026-03-17,2026-03-24,,,3.50,Standard production run - Transmission Housing
WO-EXP-01,P-1099,TierOne_A,1,120,PCS,98,scheduled,2026-03-16,2026-03-16,2026-03-18,,,5.50,"EXPEDITE - customer line stoppage, Precision Gearbox Cover urgent"
WO-EXP-02,P-2001,MidWest_Motors,2,80,PCS,88,scheduled,2026-03-16,2026-03-16,2026-03-19,,,3.50,"EXPEDITE - Valve Body Assembly, only runs on WC-02"
WO-LOW-01,P-3001,SmallCo_Z,3,40,PCS,20,scheduled,2026-03-16,2026-03-17,2026-03-28,,,2.50,"Standard run - low priority, 12 days lead time, Tier 3 customer"
WO-MAT-01,P-1002,Detroit_Assembly,2,300,PCS,75,scheduled,2026-03-16,2026-03-16,2026-03-20,,,6.00,"MATERIAL SHORTAGE - raw stock not received, supplier delay confirmed"
WO-LONG-01,P-1001,TierOne_A,1,500,PCS,85,scheduled,2026-03-16,2026-03-17,2026-03-22,,,14.50,"Large batch - Transmission Housing, 14.5hrs, spans 2 shifts minimum"
WO-CNF-01,P-1002,MechaTech,2,120,PCS,80,scheduled,2026-03-16,2026-03-17,2026-03-21,,,3.80,"Drive Shaft Flange - WC-01 preferred, competes with existing WC-01 queue"
WO-STD-01,P-3001,AutoParts_Co,2,200,PCS,45,scheduled,2026-03-16,2026-03-17,2026-03-26,,,5.00,"Standard run - Chassis Frame Panel, WC-03 post-PM, comfortable lead time"
WO-TEST-01,P-1001,AutoParts_Co,2,75,PCS,60,scheduled,2026-03-17,2026-03-17,2026-03-25,,,3.50,Standard run - Transmission Housing
WO-TEST-02,P-3001,BodyWorks,2,50,PCS,40,scheduled,2026-03-17,2026-03-17,2026-03-27,,,4.00,Standard run - Chassis Frame Panel
WO-TEST-03,P-1099,TierOne_A,1,90,PCS,88,scheduled,2026-03-17,2026-03-17,2026-03-22,,,5.20,Precision Gearbox Cover - Tier 1 customer
WO-TEST-04,P-1099,TierOne_A,1,90,PCS,88,scheduled,2026-03-17,2026-03-17,2026-03-22,,,5.20,Precision Gearbox Cover - Tier 1 customer
WO-TEAMS-01,P-3001,BodyWorks,2,120,PCS,65,scheduled,2026-03-17,2026-03-17,2026-03-24,,,4.00,Chassis Frame Panel - standard run
WO-TEAMS-02,P-3001,BodyWorks,2,120,PCS,65,scheduled,2026-03-17,2026-03-17,2026-03-23,,,4.00,Chassis Frame Panel - standard run
WO-TEAMS-03,P-3001,BodyWorks,2,120,PCS,65,scheduled,2026-03-17,2026-03-17,2026-03-25,,,4.00,Chassis Frame Panel - standard run
WO-TEAMS-04,P-3001,BodyWorks,2,120,PCS,65,scheduled,2026-03-17,2026-03-17,2026-03-26,,,4.00,Chassis Frame Panel - standard run
WO-TEAMS-05,P-3001,BodyWorks,2,120,PCS,65,scheduled,2026-03-17,2026-03-17,2026-03-27,,,4.00,Chassis Frame Panel - standard run
WO-TEAMS-DEMO,P-1099,TierOne_A,1,150,PCS,90,scheduled,2026-03-17,2026-03-17,2026-03-22,,,6.00,Precision Gearbox Cover — Tier 1 demo order
